,state_number,consecutive_number,vehicle_number,drivers_vision_obscured_by,drivers_vision_obscured_by_name
138,38,380033,1,0,No Obstruction Noted
139,38,380007,1,0,No Obstruction Noted
140,38,380001,1,0,No Obstruction Noted
141,38,380002,1,0,No Obstruction Noted
142,38,380003,1,0,No Obstruction Noted
143,38,380005,1,0,No Obstruction Noted
144,38,380006,1,0,No Obstruction Noted
145,38,380034,1,0,No Obstruction Noted
146,38,380008,1,0,No Obstruction Noted
147,38,380009,1,0,No Obstruction Noted
148,38,380010,1,0,No Obstruction Noted
149,38,380011,1,0,No Obstruction Noted
150,38,380012,1,0,No Obstruction Noted
151,38,380063,1,0,No Obstruction Noted
152,38,380054,1,0,No Obstruction Noted
153,38,380055,1,0,No Obstruction Noted
154,38,380056,1,0,No Obstruction Noted
155,38,380057,1,0,No Obstruction Noted
156,38,380058,1,0,No Obstruction Noted
157,38,380059,1,0,No Obstruction Noted
158,38,380061,1,0,No Obstruction Noted
159,38,380062,1,0,No Obstruction Noted
160,38,380064,1,0,No Obstruction Noted
161,38,380065,1,0,No Obstruction Noted
162,38,380066,1,0,No Obstruction Noted
163,38,380067,1,0,No Obstruction Noted
164,38,380068,1,0,No Obstruction Noted
165,38,380069,1,0,No Obstruction Noted
166,38,380045,1,0,No Obstruction Noted
167,38,380035,1,0,No Obstruction Noted
168,38,380036,1,0,No Obstruction Noted
169,38,380037,1,0,No Obstruction Noted
170,38,380038,1,0,No Obstruction Noted
171,38,380039,1,0,No Obstruction Noted
172,38,380040,1,0,No Obstruction Noted
173,38,380041,1,0,No Obstruction Noted
174,38,380044,1,0,No Obstruction Noted
175,38,380046,1,0,No Obstruction Noted
176,38,380047,1,0,No Obstruction Noted
177,38,380048,1,0,No Obstruction Noted
178,38,380049,1,0,No Obstruction Noted
179,38,380050,1,0,No Obstruction Noted
180,38,380051,1,0,No Obstruction Noted
181,38,380052,1,0,No Obstruction Noted
182,38,380053,1,0,No Obstruction Noted
183,33,330001,1,0,No Obstruction Noted
184,33,330002,1,0,No Obstruction Noted
185,33,330096,1,0,No Obstruction Noted
186,33,330086,1,0,No Obstruction Noted
187,33,330087,1,0,No Obstruction Noted
188,33,330088,1,0,No Obstruction Noted
189,33,330089,1,0,No Obstruction Noted
190,33,330090,1,0,No Obstruction Noted
191,33,330091,1,0,No Obstruction Noted
192,33,330092,1,0,No Obstruction Noted
193,33,330093,1,0,No Obstruction Noted
194,33,330094,1,0,No Obstruction Noted
195,33,330097,1,0,No Obstruction Noted
196,33,330098,1,0,No Obstruction Noted
197,33,330099,1,0,No Obstruction Noted
198,33,330101,1,0,No Obstruction Noted
199,33,330102,1,0,No Obstruction Noted
200,33,330103,1,0,No Obstruction Noted
201,33,330069,1,0,No Obstruction Noted
202,33,330070,1,0,No Obstruction Noted
203,33,330071,1,0,No Obstruction Noted
204,33,330072,1,0,No Obstruction Noted
205,33,330073,1,0,No Obstruction Noted
206,33,330074,1,0,No Obstruction Noted
207,33,330075,1,0,No Obstruction Noted
208,33,330077,1,0,No Obstruction Noted
209,33,330078,1,0,No Obstruction Noted
210,33,330079,1,0,No Obstruction Noted
211,33,330080,1,0,No Obstruction Noted
212,33,330081,1,0,No Obstruction Noted
213,33,330083,1,0,No Obstruction Noted
214,33,330084,1,0,No Obstruction Noted
215,33,330085,1,0,No Obstruction Noted
216,33,330068,1,0,No Obstruction Noted
217,33,330027,1,0,No Obstruction Noted
218,33,330017,1,0,No Obstruction Noted
